peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Phe,PA,50,19.0,2,0,2-exp,-306.19,0.836643,0.00536999,0.000308133,0.0022317,1.0,0.000964032,0.341673,0.0113537,0.276411,0.00174376,0.0909168,0.0113537,0.276411,0.00174376,0.0909168
guesthost_Phe,PA,50,19.0,2,1,2-exp,-10152.0,0.997802,0.0208636,2.38419e-05,0.017896,0.754855,0.00049584,0.0800644,0.0258473,0.284543,0.00107246,0.08152,0.0258473,0.284543,0.00107246,0.08152
guesthost_Phe,PA,50,19.0,2,3,2-exp,-508.877,0.891192,0.00556674,0.000156013,0.00331438,1.0,0.000332183,0.0616147,0.0219536,0.102596,0.00360454,0.0293123,0.0219536,0.102596,0.00360454,0.0293123
guesthost_Leu,PA,60,20.0,0,1,3-exp,-928.594,0.995081,0.0433367,0.0218905,0.0173498,0.946208,0.000907982,0.0302268,0.0780645,0.27564,0.0122115,0.0248608,1.0,0.00540244,6.33808,0.015337
guesthost_Leu,PA,60,20.0,0,2,3-exp,-2095.96,0.997137,0.0387965,0.000393915,0.0136294,0.580767,0.00132604,0.0661262,0.0305162,0.752291,0.00104573,0.0778246,1.0,0.00792402,0.0999734,0.000629047
guesthost_Leu,PA,60,20.0,0,3,1-exp,-16.9279,0.255027,10.0,2.29004,10.0,0.417572,2.29004,0.050024,,,,,,,,
guesthost_Leu,PA,60,20.0,1,0,2-exp,-118.417,0.784082,0.00398499,0.00042227,0.00217255,1.0,0.00151302,0.333856,0.00663887,0.273004,0.00316363,0.370235,0.00663887,0.273004,0.00316363,0.370235
guesthost_Leu,PA,60,20.0,1,2,2-exp,-1010.4,0.985998,0.0102741,0.000113127,0.00251374,0.332663,0.000914731,0.0822028,0.010435,0.904442,0.000182974,0.0390515,0.010435,0.904442,0.000182974,0.0390515
guesthost_Leu,PA,60,20.0,1,3,1-exp,-175.704,0.969378,0.0119075,0.000323566,0.0119075,1.1,0.000323566,0.0408281,,,,,,,,
guesthost_Leu,PA,60,20.0,2,0,2-exp,-610.74,0.789522,0.0037263,0.000432274,0.00151117,1.0,0.000994691,0.366851,0.002951,0.750634,0.000446535,0.599287,0.002951,0.750634,0.000446535,0.599287
guesthost_Leu,PA,60,20.0,2,1,1-exp,-600.498,0.988412,0.0183264,0.000173374,0.0183264,0.989182,0.000173374,0.0125922,,,,,,,,
guesthost_Leu,PA,60,20.0,2,3,3-exp,-3941.2,0.976977,0.00842623,4.9715e-05,0.00483039,0.786653,0.884544,500919.0,0.00483089,0.661918,1.18404,500919.0,0.0256458,0.0557102,0.00127312,0.00641085
guesthost_Trp,PA,20,18.0,0,2,3-exp,-31041.5,0.949283,0.0671497,0.000238791,0.0418837,0.989527,0.000722674,0.0167019,0.11404,0.124304,0.00785357,0.0188434,1.0,0.011529,0.0151988,0.000457787
guesthost_Trp,PA,20,18.0,0,3,3-exp,-1166.15,0.953873,0.270318,0.00391756,0.00828062,0.67039,0.00228719,0.187848,0.234246,0.546296,0.0142677,0.0199935,1.0,0.136799,0.0330717,0.0127339
guesthost_Trp,PA,20,18.0,2,0,2-exp,-57036.0,0.995821,0.0214671,1.55362e-05,0.0141019,1.0,0.00014023,0.0293112,0.0209805,0.351049,0.000264757,0.030821,0.0209805,0.351049,0.000264757,0.030821
guesthost_Trp,PA,20,18.0,2,3,3-exp,-3374.89,0.94573,0.00722996,0.000100669,0.00457574,0.795982,0.981915,837468.0,0.00457636,0.68429,0.812771,837468.0,0.0288038,0.0158379,0.00548004,0.00560504
guesthost_Leu,PA,15,20.0,0,1,3-exp,-2510.21,0.995112,0.0559759,0.000442436,0.0146131,0.693881,0.000433896,0.0114591,0.0700396,0.316631,0.001914,0.0119776,1.0,0.0236595,0.0252979,0.000825378
guesthost_Leu,PA,15,20.0,0,2,3-exp,-1859.64,0.997171,0.0426432,0.000115656,0.0302504,0.54208,74.8909,319594.0,0.0302505,0.500013,81.192,319594.0,0.304355,0.0365344,0.0101247,0.00169134
guesthost_Leu,PA,15,20.0,0,3,3-exp,-1329.64,0.995817,0.0424644,0.000252486,0.00951271,0.543178,0.0023069,0.0952845,0.0283914,0.552825,0.00450909,0.103323,0.0812197,0.265968,0.00352209,0.0362939
guesthost_Leu,PA,15,20.0,1,0,3-exp,-1457.21,0.957267,0.00744036,0.00144758,0.00133418,0.999999,0.0034591,0.840845,0.00289301,0.727644,0.00281979,2.44229,0.0147519,0.271227,0.000668718,0.0319435
guesthost_Leu,PA,15,20.0,1,2,3-exp,-7701.01,0.994522,0.014117,0.00565763,0.000753832,1.0,0.000855255,3.68783,0.0135313,0.98222,6.94828e-05,0.00571205,1.0,7.23541e-05,90.5548,0.000651184
guesthost_Leu,PA,15,20.0,1,3,3-exp,-478.753,0.934587,0.00518668,0.000218663,0.00301315,0.832764,2.34186,2132090.0,0.00301426,0.531556,2.37772,2132090.0,0.0115532,0.0930633,0.00603348,0.126901
guesthost_Leu,PA,15,20.0,2,0,2-exp,-518.917,0.780021,0.0037005,0.000265083,0.00195303,1.0,0.00079615,0.182336,0.0046898,0.372612,0.000839124,0.286027,0.0046898,0.372612,0.000839124,0.286027
guesthost_Leu,PA,15,20.0,2,1,2-exp,-6767.29,0.989316,0.0108024,2.88561e-05,0.00963031,1.0,0.000102518,0.00766807,0.0261545,0.0448123,0.00173086,0.00881883,0.0261545,0.0448123,0.00173086,0.00881883
