Time,Current,State
26.489,0.0,0
26.490000000000002,1.0,1
26.491,1.0,1
26.492,0.0,0
26.493000000000002,1.0,1
26.494,0.0,0
26.495,1.0,1
26.496000000000002,1.0,1
26.497,1.0,1
26.498,1.0,1
26.499,1.0,1
26.5,1.0,1
26.501,1.0,1
26.502,1.0,1
26.503,0.0,0
26.504,1.0,1
26.505,0.0,0
26.506,0.0,0
26.507,1.0,1
26.508,1.0,1
26.509,1.0,1
26.51,1.0,1
26.511,1.0,1
26.512,1.0,1
26.513,1.0,1
26.514,1.0,1
26.515,1.0,1
26.516000000000002,1.0,1
26.517,1.0,1
26.518,0.0,0
26.519000000000002,1.0,1
26.52,1.0,1
26.521,1.0,1
26.522000000000002,1.0,1
26.523,0.0,0
26.524,1.0,1
26.525000000000002,0.0,0
26.526,1.0,1
26.527,1.0,1
26.528000000000002,0.0,0
26.529,1.0,1
26.53,1.0,1
26.531,0.0,0
26.532,1.0,1
26.533,1.0,1
26.534,0.0,0
26.535,0.0,0
26.536,1.0,1
26.537,1.0,1
26.538,1.0,1
26.539,1.0,1
26.54,1.0,1
26.541,1.0,1
26.542,1.0,1
26.543,0.0,0
26.544,1.0,1
26.545,1.0,1
26.546,0.0,0
26.547,1.0,1
26.548000000000002,0.0,0
26.549,2.0,2
26.55,2.0,2
26.551000000000002,2.0,2
26.552,2.0,2
26.553,2.0,2
26.554000000000002,2.0,2
26.555,0.0,0
26.556,1.0,1
26.557000000000002,1.0,1
26.558,1.0,1
26.559,1.0,1
26.560000000000002,0.0,0
26.561,0.0,0
26.562,1.0,1
26.563,0.0,0
26.564,1.0,1
26.565,0.0,0
26.566,1.0,1
26.567,1.0,1
26.568,0.0,0
26.569,1.0,1
26.57,1.0,1
26.571,0.0,0
26.572,0.0,0
26.573,1.0,1
26.574,0.0,0
26.575,0.0,0
26.576,2.0,2
26.577,2.0,2
26.578,2.0,2
26.579,2.0,2
26.580000000000002,2.0,2
26.581,2.0,2
26.582,0.0,0
26.583000000000002,0.0,0
26.584,1.0,1
26.585,1.0,1
26.586000000000002,0.0,0
26.587,1.0,1
26.588,1.0,1
26.589000000000002,1.0,1
26.59,1.0,1
26.591,0.0,0
26.592000000000002,0.0,0
26.593,0.0,0
26.594,0.0,0
26.595,1.0,1
26.596,1.0,1
26.597,1.0,1
26.598,1.0,1
26.599,1.0,1
26.6,1.0,1
26.601,1.0,1
26.602,0.0,0
26.603,1.0,1
26.604,0.0,0
26.605,1.0,1
26.606,0.0,0
26.607,0.0,0
26.608,1.0,1
26.609,1.0,1
26.61,0.0,0
26.611,2.0,2
26.612000000000002,2.0,2
26.613,2.0,2
26.614,2.0,2
26.615000000000002,2.0,2
26.616,2.0,2
26.617,2.0,2
26.618000000000002,2.0,2
26.619,2.0,2
26.62,1.0,1
26.621000000000002,0.0,0
26.622,1.0,1
26.623,1.0,1
26.624000000000002,1.0,1
26.625,0.0,0
26.626,1.0,1
26.627,1.0,1
26.628,1.0,1
26.629,0.0,0
26.63,0.0,0
26.631,1.0,1
26.632,0.0,0
26.633,0.0,0
26.634,2.0,2
26.635,2.0,2
26.636,2.0,2
26.637,2.0,2
26.638,2.0,2
26.639,2.0,2
26.64,2.0,2
26.641000000000002,0.0,0
26.642,0.0,0
26.643,2.0,2
26.644000000000002,2.0,2
26.645,2.0,2
26.646,2.0,2
26.647000000000002,2.0,2
26.648,0.0,0
26.649,1.0,1
26.650000000000002,0.0,0
26.651,2.0,2
26.652,2.0,2
26.653000000000002,2.0,2
26.654,2.0,2
26.655,2.0,2
26.656,2.0,2
26.657,2.0,2
26.658,0.0,0
26.659,1.0,1
26.66,1.0,1
26.661,0.0,0
26.662,1.0,1
26.663,1.0,1
26.664,1.0,1
26.665,1.0,1
26.666,0.0,0
26.667,1.0,1
26.668,1.0,1
26.669,0.0,0
26.67,2.0,2
26.671,2.0,2
26.672,2.0,2
26.673000000000002,0.0,0
26.674,1.0,1
26.675,0.0,0
26.676000000000002,1.0,1
26.677,0.0,0
26.678,1.0,1
26.679000000000002,1.0,1
26.68,0.0,0
26.681,1.0,1
26.682000000000002,0.0,0
26.683,1.0,1
26.684,1.0,1
26.685000000000002,1.0,1
26.686,1.0,1
26.687,1.0,1
26.688,1.0,1
26.689,1.0,1
26.69,0.0,0
26.691,0.0,0
26.692,0.0,0
26.693,1.0,1
26.694,0.0,0
26.695,1.0,1
26.696,0.0,0
26.697,1.0,1
